
10pin,Bowlingbaan
footway,Voetpad
ford,Voorde
forest,Bos
fort,Fort
found,TODO
foundation,Stichting
fountain,Fontijn
free_flying,TODO
fuel,Benzinepomp
full-height_turnstile,manshoge draaideur
funeral_directors,Uitvaartcentrum
funicular,Kabelspoorweg
furniture,Meubelzaak
gaelic_games,Keltische spelen
gallery,Galerie
garage,Garage
garden_centre,Tuincentrum
garden,Tuin
gasometer,Gashouder
gate,Slagboom
general,Algemene winkel
geyser,Geiser
gift,Cadeauwinkel
glacier,Gletsjer
glaziery,Glasblazerij
golf,Golf
golf_course,Golfbaan
government,Overheid
grass,Gras
grassland,Gasland
grave_yard,Begraafplaats
greenfield,Onbebouwd gebied
greengrocer,Groenteboer
grit_bin,Gritbak
grocery,Kruidenierswinkel
groyne,Strandhoofd
guest_house,Gastenverblijf
gym,Fitnesscentrum
gymnastics,Turnen
hackerspace,Hackerspace
hairdresser,Kapper
hall,Hal
halt,Treinhalte
hamlet,Gehucht
harbour,Haven
hardware,Gereedschappenwinkel
health_centre,Gezondheidscentrum
hearing_aids,Gehoorapparaten
heath,Heide
hedge,Haag
helipad,Helikopterplatform
hifi,Hi-fi
hill,Heuvel
historic_station,Historisch spoorwegstation
hockey,Hockey
horse_racing,Paarderennen
horseshoes,Hoefijzers
horse_stile,TODO
hospital,Ziekenhuis
hostel,Jeugdherberg
hotel,Hotel
house,Huis
houses,Huizen
hunting_stand,Jachttoren
ice_cream,IJskraam
ice_rink,IJsbaan
ice_stock,TODO
icon,Icoon
industrial,Industrieel gebied
information,Informatie
insurance,Verzekeringen
island,Eiland
islet,Eilandje
it,IT
jewelry,Juwelier
judo,Judo
junction,Spoorwegkruising
karting,Karten
key_cutter,Sleutelmaker
kiln,Oven
kindergarten,Kleuterschool
kiosk,Kioskwinkel
kissing_gate,Scheidingspoort
korfball,Korfbal
lake,Meer
landfill,Stortplaats
land,Land
landmark,Herkenningspunt
laundry,Wasserij
lava,Lava
lawyer,Advocaat
lean_to,Open schutplaats
level_crossing,Gelijkvloerse kruising
library,Bibliotheek
life_ring,TODO
lift_gate,Liftdoorgang
lighthouse,Vuurtoren
light_rail,Lightrail
living_street,Woonerf
locality,Plaats
lock_gate,Sluisdeur
lock,Schutsluis
mall,Overdekt winkelcentrum
manor,Landgoed
marina,Jachthaven
market,Markt
marketplace,Marktplaats
marsh,Moeras
massage,Massagesalon
mast,Mast
meadow,Weide
memorial,Monument
military,Miltair gebied
mine,Mijn
mineral_spring,Mineraalwaterbron
mineshaft,Mijnschacht
miniature_golf,Minigolf
minor,Lokale weg
mobile_phone,Mobiele telefoons
monastery,Klooster
money_lender,TODO
money_transfer,Money transfer
monitoring_station,Observatiepost
monorail,Monorail
monument,Groot monument
mooring,Aanlegplaats
moor,Veen
motel,Motel
motor,Motorfiets
motorcycle,Motorfietsenwinkel
motorcycle_parking,Motorfietsstalling
motorway,Autosnelweg
motorway_junction,Knooppunt
motorway_link,Op- of afrit
mountain,Berg
mountain_rescue,Reddingsdienst
mud,Modder
multi,Meerkamp
municipality,Gemeente
museum,Museum
music,Muziekwinkel
narrow_gauge,Smalspoor
nature_reserve,Natuurreservaat
naval_base,Marinebasis
newsagent,Straatkiosk
ngo,Niet-gouvernementele organisatie
nightclub,Nachtclub
notary,Notaris
nursery,TODO
nursing_home,Verpleeghuis
obelisk,Obelisk
observatory,Observatiorium
office,Kantoor
optician,Opticien
orchard,Boombgaard
organic,Organische winkel
orienteering,Oriëntatie
outdoor,Buitensportwinkel
paddle_tennis,Paddle tennis
paragliding,Paragliding
parking,Parkeergelegenheid
parking_space,Parkeerplaats
park,Park
pastry,Banketbakkerij
path,Pad
pawnbroker,Lommert
peak,Spits
pedestrian,Voetgangerszone
pelota,Pelota
perfumery,Parfurmerie
pet,Dierenwinkel
petroleum_well,Petroleumbron
pharmacy,Apotheek
phone,Telefoon
photo,Fotowinkel
photographer,Fotograaf
picnic_site,Picknickplaats
pier,Pier
pipeline,Pijpleiding
piste,Piste
pitch,Sportveld
place_of_worship,Gebedsplaats
platform,Perron
playground,Speelplaats
plaza,Plein
point,Punt
police,Politie
post_box,Brievenbus
postcode,Postcode
post_office,Postkantoor
power_cable_distribution_cabinet,Energieverdeelkast
power_generator,Energiegenerator
power_station,Energiestation
power_substation,Energieverdeelstation
power_sub_station,Energieonderverdeelstation
preschool,Peuterspeelzaal
preserved,Historisch spoor
primary_link,Primaire weg
primary,Primaire weg
prison,Gevangenis
pub,Café
public_building,Openbaar gebouw
public_market,Openbare markt
public,Openbaar gebouw
public_transport_platform,OV-perron
public_transport_station,OV-station
quango,Quango
quarry,Steengroeve
&quot;yes&quot;,Gebouw
raceway,Racecircuit
racquet,Racquet
radio_station,Radiostation
railway_abandoned,TODO
railway_buffer_stop,TODO
railway_construction,TODO
railway_crossing,TODO
railway_disused,TODO
railway_funicular,TODO
railway_level_crossing,TODO
railway_monorail,TODO
railway_narrow_gauge,TODO
railway_preserved,TODO
railway_rail,TODO
railway_signal,TODO
railway,Spoor
railway_station,Treinstation
railway_turntable,TODO
range,TODO
rapids,Stroomversnelling
reception_area,Receptie
recreation_ground,Recreatiegebied
recycling,Recyclingpunt
reef,Rif
region,Regio
research,TODO
reservoir_covered,Afgedekt reservoir
reservoir,Reservoir
residential,Woonwijk
rest_area,Rustplaats
restaurant,Restaurant
retail,Winkels
retaining_wall,TODO
retirement_home,Bejaardentehuis
ridge,Bergkam
riverbank,Rivierbedding
river,Rivier
road,Weg
rock,Rots
rowing,Roeien
rugby_league,TODO
rugby_union,TODO
ruins,Ruïne
running,Hardlopen
sally,TODO
salon,Schoonheidssalon
salt_pond,TODO
sauna,Sauna
school,School
scree,Puin
scrub,Struikgewas
scuba_diving,Duiksport
seafood,TODOTODO
sea,Zee
secondary_link,Secundaire weg
secondary,Secundaire weg
second_hand,Tweedehandswinkel
services,TODO
service,Serviceweg
shelter,Beschutting
shoal,Zandbank
shoemaker,Schoenenmaker
shoes,Schoenenzaak
shooting,Schietbaan
shop_farm,Boerenwinkel
shopping_centre,Winkelcentrum
shopping,Winkelgelegenheid
shop,Winkel
sinkhole,Zinkgat
siren,Sirene
skateboard,Skateboard
skating,Schaatsen
skiing,Skiën
slipway,Scheepshelling
snow_fence,Sneeuwhek
soccer,Voetbal
social_club,TODO
social_facility,TODO
speed_camera,Snelheidscamera
sports_centre,Sportcentrum
sports,Sportwinkel
spring,Bron
spur,Parallelspoorweg
stadium,Stadion
state,Staat
stationery,Kantoorartikelenwinkel
station,Station
steps,Trap
stile,Overstap
stone,Steen
stop_position,TODO
storage_tank,Opslagtank
store,Winkel
strait,Zeeëngte
stream,Stroom
street_lamp,Straatlantaarn
stripclub,Stripclub
studio,Studio
subdivision,Deelgebied
suburb,Buitenwijk
subway_entrance,Metroingang
subway,Metrostation
suction_point,TODO
supermarket,Supermarkt
surfing,Surfen
surveillance,Bewaking
survey_point,Observatiepunt
swimming,Zwemmen
swimming_pool,Zwembad
swing_gate,Draaipoort
switch,Spoogwegpunten
table_tennis,Tafeltennis
taekwondo,Taekwondo
tailor,Kleermaker
tattoo,Tattoeagestudio
taxi,Taxi
team_handball,TODO
technical,TODO
telecommunication,Telecommunicatie
telephone,Openbare telefoon
tennis,Tennis
terminal,TODO
terrace,Terras
tertiary,Tertiaire weg
theatre,Theater
theme_park,Pretpark
tobacco,Tabakswinkel
toboggan,TODO
toilets,Toilet
toll_booth,Tolhuis
tower,Toren
townhall,Gemeentehuis
town,Stad
toys,Speelgoedwinkel
track,Wandelspoor
traffic_calming_bump,Verkeersdrempel
traffic_calming_chicane,Verkeerschicane
traffic_calming_choker,TODO
traffic_calming_cushion,TODO
traffic_calming_hump,TODO
traffic_calming_rumble_strip,TODO
traffic_calming_table,TODO
traffic_calming_yes,Verkeersvertraging
trail,Wandelpad
train_station,Treinstation
tram_stop,Tramhalte
tram,Tramrails
travel_agency,Reisbureau
travel_agent,Reisbureau
tree,Boom
trunk,Autoweg
trunk_link,Autoweg
turning_circle,TODO
turnstile,Draaipoort
unclassified,Landweg
unincorporated_area,Gemeentevrij gebied
university,Universiteit
unsurfaced,Onverharde weg
valley,Vallei
variety_store,TODO
vending_machine,Automaat
veterinary,Dierenarts
video,Videotheek
viewpoint,Bijzonder uitzicht
village,Dorp
village_green,Stadsgroen
village_hall,Dorpshuis
vineyard,Wijngaard
volcano,Vulkaan
volleyball,Volleybal
wadi,Beek
wall,Muur
waste_basket,Prullebak
waste_disposal,Rioolafvoer
wastewater_plant,Waterzuivering
watchmaker,Horlogemaker
water_dock,TODO
waterfall,Waterval
water_lock_gate,TODO
watermill,Watermolen
water_mill_pond,TODO
water_park,Waterpark
water_point,Waterpunt
water_ski,Waterski
water_tank,Watertank
water_tower,Watertoren
water_turning_point,Keerstroom
water,Water
water_weir,Waterstuw
water_well,Waterbron
water_works,Waterwerken
wayside_cross,Kruis
wayside_shrine,Altaar
weightlifting,Gewichtheffen
weir,Stuwdam
wetland,Moeras
wetlands,Moerasgebied
wifi,wifi
windmill,Windmolen
wine,Vinotheek
wood,Woud
works,Werken
wreck,Wrak
wrestling,Worstelen
yard,Rangeerterrein
youth_centre,Jingerencentrum
zoo,Dierentuin
